iter	Passed	Remaining
0	1	106
1	2	115
2	3	105
3	4	105
4	5	106
5	6	102
6	7	103
7	8	102
8	9	101
9	10	98
10	12	97
11	13	97
12	14	95
13	15	94
14	16	92
15	17	90
16	18	89
17	19	87
18	20	86
19	21	85
20	22	83
21	23	82
22	24	82
23	25	81
24	26	79
25	27	78
26	28	77
27	29	75
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	37	68
35	38	67
36	39	66
37	40	65
38	41	64
39	42	63
40	42	61
41	44	60
42	45	59
43	45	58
44	47	57
45	47	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
