iter	Passed	Remaining
0	141	141682
1	142	71348
2	144	47947
3	145	36301
4	147	29277
5	148	24569
6	149	21202
7	150	18669
8	152	16758
9	153	15193
10	154	13904
11	155	12843
12	174	13274
13	176	12409
14	177	11676
15	179	11025
16	180	10448
17	181	9925
18	183	9452
19	184	9042
20	185	8665
21	187	8325
22	188	8012
23	190	7735
24	191	7471
25	192	7224
26	194	7000
27	195	6790
28	197	6601
29	198	6422
30	200	6255
31	201	6095
32	203	5949
33	204	5814
34	206	5683
35	207	5549
36	208	5436
37	210	5325
38	211	5219
39	213	5114
40	214	5020
41	216	4937
42	217	4848
43	219	4759
44	220	4675
45	221	4598
46	223	4522
47	224	4453
48	225	4383
49	227	4321
50	228	4258
51	230	4196
52	231	4135
53	232	4075
54	234	4024
55	235	3970
56	236	3917
57	238	3868
58	239	3821
59	241	3777
60	242	3733
61	243	3690
62	245	3652
63	246	3611
64	248	3570
65	249	3529
66	251	3507
67	253	3470
68	254	3434
69	255	3400
70	257	3365
71	258	3333
72	260	3303
73	261	3270
74	262	3238
75	263	3209
76	265	3181
77	266	3153
78	268	3130
79	270	3113
80	272	3087
81	273	3060
82	274	3030
83	275	3004
84	277	2984
85	279	2965
86	280	2944
87	282	2922
88	283	2902
89	284	2879
90	286	2859
91	287	2838
92	289	2819
93	290	2799
94	291	2778
95	293	2760
96	294	2743
97	296	2727
98	297	2710
99	299	2694
100	300	2678
101	302	2662
102	303	2646
103	305	2628
104	306	2613
105	308	2599
106	309	2584
107	310	2567
108	312	2553
109	313	2539
110	315	2525
111	316	2511
112	317	2495
113	319	2481
114	320	2469
115	322	2456
116	323	2442
117	324	2429
118	326	2416
119	328	2406
120	329	2393
121	330	2380
122	332	2369
123	333	2358
124	335	2346
125	336	2337
126	338	2325
127	339	2315
128	341	2303
129	342	2290
130	343	2279
131	345	2269
132	347	2262
133	348	2252
134	349	2241
135	351	2230
136	352	2220
137	353	2210
138	355	2200
139	356	2192
140	358	2183
141	359	2171
142	360	2163
143	362	2154
144	363	2145
145	365	2137
146	366	2129
147	368	2119
148	369	2109
149	370	2100
150	371	2090
151	373	2082
152	374	2075
153	376	2066
154	377	2058
155	378	2049
156	380	2041
157	381	2033
158	382	2025
159	384	2018
160	385	2007
161	386	2000
162	388	1993
163	389	1985
164	391	1980
165	392	1973
166	394	1968
167	396	1962
168	397	1955
169	399	1948
170	400	1942
171	401	1934
172	403	1926
173	404	1918
174	405	1911
175	406	1905
176	408	1898
177	409	1891
178	411	1886
179	412	1880
180	414	1873
181	415	1869
182	417	1862
183	418	1857
184	420	1851
185	421	1844
186	422	1837
187	423	1831
188	425	1826
189	427	1821
190	428	1815
191	430	1810
192	431	1804
193	432	1798
194	434	1793
195	436	1789
196	437	1783
197	438	1777
198	439	1771
199	441	1765
200	442	1759
201	444	1755
202	445	1750
203	447	1746
204	449	1741
205	450	1735
206	451	1730
207	453	1724
208	454	1719
209	455	1713
210	457	1709
211	458	1704
212	459	1699
213	461	1694
214	462	1690
215	464	1684
216	465	1679
217	466	1673
218	467	1668
219	469	1663
220	470	1658
221	471	1652
222	472	1647
223	474	1642
224	475	1638
225	476	1633
226	478	1628
227	479	1623
228	480	1618
229	481	1612
230	483	1608
231	484	1604
232	485	1599
233	487	1594
234	488	1590
235	489	1585
236	490	1580
237	492	1576
238	493	1571
239	494	1567
240	496	1563
241	497	1557
242	498	1553
243	500	1549
244	501	1546
245	502	1541
246	504	1537
247	505	1533
248	506	1528
249	508	1524
250	509	1519
251	510	1515
252	511	1511
253	513	1507
254	514	1503
255	515	1498
256	516	1494
257	518	1490
258	519	1486
259	520	1482
260	522	1479
261	523	1475
262	525	1471
263	526	1466
264	527	1462
265	528	1457
266	529	1453
267	531	1450
268	532	1446
269	533	1441
270	534	1437
271	535	1433
272	537	1430
273	538	1426
274	539	1421
275	540	1418
276	542	1415
277	543	1411
278	544	1408
279	546	1404
280	548	1403
281	549	1399
282	550	1395
283	551	1391
284	553	1387
285	554	1384
286	555	1381
287	557	1377
288	558	1373
289	559	1369
290	561	1368
291	563	1365
292	564	1362
293	565	1358
294	566	1355
295	568	1351
296	569	1347
297	570	1344
298	572	1341
299	573	1338
300	574	1335
301	576	1331
302	577	1328
303	578	1325
304	580	1322
305	581	1319
306	582	1315
307	584	1312
308	585	1309
309	587	1306
310	588	1303
311	589	1299
312	590	1296
313	592	1293
314	593	1290
315	594	1287
316	595	1283
317	597	1280
318	598	1277
319	599	1274
320	600	1270
321	602	1267
322	603	1264
323	604	1261
324	605	1258
325	606	1254
326	607	1251
327	609	1247
328	610	1244
329	611	1241
330	612	1238
331	613	1235
332	614	1231
333	616	1229
334	618	1227
335	619	1224
336	620	1220
337	621	1218
338	623	1215
339	624	1212
340	625	1209
341	626	1205
342	628	1203
343	629	1200
344	630	1197
345	632	1194
346	633	1191
347	634	1188
348	635	1185
349	637	1183
350	638	1179
351	639	1176
352	640	1174
353	641	1171
354	643	1168
355	644	1165
356	645	1162
357	646	1159
358	648	1157
359	649	1154
360	650	1151
361	651	1148
362	652	1145
363	654	1143
364	655	1140
365	656	1137
366	658	1135
367	659	1132
368	660	1129
369	661	1127
370	663	1124
371	664	1121
372	665	1117
373	666	1115
374	667	1112
375	668	1109
376	669	1106
377	670	1103
378	672	1101
379	673	1098
380	674	1095
381	675	1092
382	676	1090
383	677	1087
384	679	1084
385	680	1082
386	681	1080
387	682	1077
388	683	1074
389	685	1072
390	686	1069
391	687	1067
392	688	1064
393	690	1061
394	691	1059
395	692	1056
396	694	1054
397	695	1051
398	696	1049
399	698	1047
400	699	1044
401	700	1042
402	701	1039
403	702	1036
404	704	1034
405	705	1031
406	706	1029
407	707	1026
408	708	1023
409	709	1021
410	710	1018
411	712	1016
412	713	1014
413	714	1011
414	715	1009
415	717	1006
416	718	1004
417	719	1001
418	720	998
419	721	996
420	722	993
421	723	991
422	725	989
423	726	986
424	727	984
425	728	981
426	729	979
427	731	976
428	732	974
429	733	971
430	734	969
431	735	967
432	736	964
433	737	962
434	739	960
435	740	957
436	741	955
437	743	953
438	744	951
439	745	948
440	746	946
441	747	943
442	748	941
443	749	939
444	751	936
445	752	934
446	753	931
447	754	929
448	755	927
449	756	924
450	757	922
451	758	920
452	760	917
453	761	916
454	762	913
455	763	911
456	764	908
457	766	906
458	767	904
459	768	902
460	769	900
461	771	898
462	772	895
463	773	893
464	775	891
465	776	889
466	777	887
467	778	885
468	780	883
469	781	881
470	782	879
471	784	877
472	785	875
473	787	873
474	788	871
475	789	868
476	790	866
477	791	864
478	793	862
479	794	860
480	795	858
481	796	855
482	797	854
483	799	852
484	800	849
485	801	847
486	802	845
487	803	843
488	805	841
489	806	839
490	807	837
491	808	834
492	809	832
493	811	830
494	812	828
495	813	826
496	814	824
497	815	822
498	817	820
499	818	818
500	820	816
501	821	814
502	822	812
503	824	811
504	825	809
505	827	807
506	828	805
507	829	803
508	831	801
509	832	799
510	833	797
511	834	795
512	836	793
513	837	792
514	839	790
515	840	788
516	842	786
517	844	785
518	845	783
519	846	781
520	848	779
521	849	778
522	851	776
523	852	774
524	853	772
525	855	770
526	856	769
527	858	767
528	859	765
529	861	764
530	863	762
531	865	761
532	866	759
533	868	757
534	869	755
535	870	753
536	871	751
537	873	749
538	874	747
539	875	746
540	877	744
541	878	742
542	879	740
543	881	738
544	882	736
545	884	735
546	885	733
547	886	731
548	888	730
549	890	728
550	891	726
551	892	724
552	894	722
553	895	720
554	897	719
555	898	717
556	900	716
557	901	714
558	903	712
559	904	710
560	906	709
561	908	707
562	909	705
563	910	703
564	911	701
565	912	699
566	914	698
567	915	696
568	916	694
569	918	692
570	919	691
571	920	689
572	922	687
573	924	685
574	925	684
575	927	682
576	928	680
577	929	678
578	931	677
579	932	675
580	933	673
581	934	671
582	936	669
583	937	667
584	938	665
585	940	664
586	941	662
587	942	660
588	944	658
589	945	657
590	946	655
591	948	653
592	950	652
593	951	650
594	953	648
595	954	647
596	956	645
597	958	644
598	959	642
599	960	640
600	962	638
601	963	637
602	964	635
603	966	633
604	967	631
605	969	630
606	970	628
607	972	626
608	973	625
609	975	623
610	976	621
611	977	619
612	979	618
613	980	616
614	982	614
615	983	613
616	984	611
617	987	610
618	988	608
619	990	606
620	991	605
621	993	603
622	995	602
623	998	601
624	999	599
625	1002	598
626	1003	597
627	1005	595
628	1007	594
629	1009	592
630	1011	591
631	1013	589
632	1014	588
633	1016	586
634	1017	585
635	1020	583
636	1021	582
637	1022	580
638	1024	578
639	1026	577
640	1027	575
641	1029	574
642	1030	572
643	1032	570
644	1033	568
645	1035	567
646	1036	565
647	1038	564
648	1040	562
649	1041	560
650	1042	559
651	1044	557
652	1046	555
653	1047	554
654	1048	552
655	1050	550
656	1052	549
657	1056	548
658	1058	547
659	1060	546
660	1061	544
661	1063	542
662	1066	542
663	1068	540
664	1070	539
665	1072	537
666	1074	536
667	1077	535
668	1080	534
669	1081	532
670	1084	531
671	1086	530
672	1088	528
673	1089	526
674	1091	525
675	1093	524
676	1094	522
677	1096	520
678	1097	518
679	1099	517
680	1100	515
681	1102	513
682	1103	512
683	1105	510
684	1107	509
685	1108	507
686	1109	505
687	1111	504
688	1113	502
689	1114	500
690	1116	499
691	1117	497
692	1119	495
693	1120	494
694	1121	492
695	1123	490
696	1125	489
697	1126	487
698	1127	485
699	1129	484
700	1130	482
701	1132	480
702	1133	479
703	1135	477
704	1136	475
705	1137	473
706	1139	472
707	1140	470
708	1141	468
709	1143	467
710	1144	465
711	1145	463
712	1147	461
713	1149	460
714	1150	458
715	1151	456
716	1152	455
717	1154	453
718	1156	451
719	1157	450
720	1159	448
721	1160	446
722	1161	445
723	1163	443
724	1164	441
725	1165	440
726	1167	438
727	1169	436
728	1170	435
729	1171	433
730	1173	431
731	1174	429
732	1175	428
733	1176	426
734	1177	424
735	1178	422
736	1180	421
737	1181	419
738	1183	417
739	1184	416
740	1185	414
741	1186	412
742	1188	411
743	1189	409
744	1190	407
745	1192	405
746	1193	404
747	1195	402
748	1196	400
749	1197	399
750	1198	397
751	1200	395
752	1201	394
753	1202	392
754	1203	390
755	1205	389
756	1206	387
757	1207	385
758	1209	383
759	1210	382
760	1211	380
761	1213	378
762	1214	377
763	1215	375
764	1216	373
765	1218	372
766	1219	370
767	1220	368
768	1222	367
769	1223	365
770	1224	363
771	1226	362
772	1227	360
773	1228	358
774	1229	357
775	1231	355
776	1232	353
777	1233	351
778	1234	350
779	1236	348
780	1237	346
781	1238	345
782	1239	343
783	1240	341
784	1242	340
785	1243	338
786	1244	336
787	1245	335
788	1246	333
789	1248	331
790	1249	330
791	1251	328
792	1252	326
793	1253	325
794	1254	323
795	1255	321
796	1257	320
797	1258	318
798	1259	316
799	1260	315
800	1261	313
801	1262	311
802	1263	310
803	1265	308
804	1266	306
805	1267	305
806	1268	303
807	1269	301
808	1271	300
809	1272	298
810	1273	296
811	1274	295
812	1276	293
813	1277	291
814	1278	290
815	1279	288
816	1280	286
817	1281	285
818	1282	283
819	1283	281
820	1284	280
821	1286	278
822	1287	276
823	1288	275
824	1289	273
825	1290	271
826	1291	270
827	1293	268
828	1294	267
829	1295	265
830	1296	263
831	1297	262
832	1299	260
833	1300	258
834	1301	257
835	1303	255
836	1304	254
837	1305	252
838	1307	250
839	1308	249
840	1309	247
841	1310	245
842	1311	244
843	1313	242
844	1314	241
845	1315	239
846	1316	237
847	1317	236
848	1318	234
849	1320	232
850	1321	231
851	1322	229
852	1323	228
853	1325	226
854	1326	224
855	1327	223
856	1328	221
857	1330	220
858	1331	218
859	1332	216
860	1333	215
861	1335	213
862	1336	212
863	1337	210
864	1338	208
865	1339	207
866	1340	205
867	1342	204
868	1343	202
869	1345	200
870	1346	199
871	1347	197
872	1349	196
873	1350	194
874	1351	193
875	1352	191
876	1354	189
877	1355	188
878	1356	186
879	1358	185
880	1359	183
881	1360	181
882	1361	180
883	1362	178
884	1363	177
885	1364	175
886	1366	174
887	1367	172
888	1368	170
889	1370	169
890	1371	167
891	1372	166
892	1373	164
893	1374	162
894	1375	161
895	1376	159
896	1377	158
897	1378	156
898	1379	155
899	1380	153
900	1382	151
901	1383	150
902	1384	148
903	1385	147
904	1386	145
905	1388	144
906	1389	142
907	1390	140
908	1391	139
909	1392	137
910	1393	136
911	1395	134
912	1396	133
913	1397	131
914	1398	129
915	1399	128
916	1400	126
917	1402	125
918	1403	123
919	1404	122
920	1405	120
921	1407	119
922	1408	117
923	1409	115
924	1410	114
925	1411	112
926	1412	111
927	1413	109
928	1414	108
929	1416	106
930	1417	105
931	1418	103
932	1419	101
933	1421	100
934	1422	98
935	1423	97
936	1424	95
937	1426	94
938	1427	92
939	1428	91
940	1429	89
941	1430	88
942	1432	86
943	1433	85
944	1434	83
945	1434	81
946	1436	80
947	1437	78
948	1439	77
949	1440	75
950	1441	74
951	1442	72
952	1444	71
953	1445	69
954	1446	68
955	1447	66
956	1449	65
957	1450	63
958	1451	62
959	1452	60
960	1453	58
961	1455	57
962	1456	55
963	1457	54
964	1458	52
965	1460	51
966	1461	49
967	1462	48
968	1463	46
969	1465	45
970	1466	43
971	1467	42
972	1468	40
973	1469	39
974	1471	37
975	1472	36
976	1473	34
977	1474	33
978	1476	31
979	1477	30
980	1478	28
981	1479	27
982	1480	25
983	1482	24
984	1483	22
985	1485	21
986	1486	19
987	1487	18
988	1488	16
989	1489	15
990	1491	13
991	1492	12
992	1493	10
993	1494	9
994	1496	7
995	1497	6
996	1498	4
997	1499	3
998	1501	1
999	1502	0
